image_file_name;acquisition_year;seasonal_harvest_no;label_type;fresh_grass;dry_grass;fresh_white_clover;dry_white_clover;fresh_red_clover;dry_red_clover;fresh_clover;dry_clover;fresh_weeds;dry_weeds;dry_total;dry_clover_fraction;dry_red_clover_fraction;dry_white_clover_fraction;dry_grass_fraction;dry_weeds_fraction
biomass_image_train_0000.jpg;2017;1;semi_advance;630.65;103.48;240.39;27.84;0;0;240.39;27.84;30.96;3.98;135.3;0.205764967;0;0.205764967;0.764818921;0.029416112
biomass_image_train_0001.jpg;2017;1;basic;588.56;124.88;;;;;91.27;12.58;0;0;137.46;0.091517532;0;0;0.908482468;0
biomass_image_train_0002.jpg;2017;1;semi_advance;437.74;83.06;3.91;0.64;0;0;3.91;0.64;27.38;3.44;87.14;0.007344503;0;0.007344503;0.953178793;0.039476704
biomass_image_train_0003.jpg;2017;4;advance;72.39;9.92;221.12;26.86;8.98;1.51;230.1;28.37;80.44;9.76;48.05;0.590426639;0.031425598;0.559001041;0.206451613;0.203121748
biomass_image_train_0004.jpg;2017;1;basic;111.21;23.14;;;;;417.18;61.11;0;0;84.25;0.725341246;0;0;0.274658754;0
biomass_image_train_0005.jpg;2017;2;basic;215.81;46.65;;;;;308.75;53.59;0;0;100.24;0.534616919;0;0;0.465383081;0
biomass_image_train_0006.jpg;2017;2;advance;45.04;9.18;76.55;12.46;84.61;14.91;161.16;27.37;16.96;2.75;39.3;0.696437659;0.379389313;0.317048346;0.233587786;0.069974555
biomass_image_train_0007.jpg;2017;3;advance;104.29;16.67;183.05;26.77;134.93;21.84;317.98;48.61;73.75;9.14;74.42;0.653184628;0.293469497;0.35971513;0.223998925;0.122816447
biomass_image_train_0008.jpg;2018;2;advance;87.04;23.69;48.76;12.65;0;0;48.76;12.65;0;0;36.34;0.348101266;0;0.348101266;0.651898734;0
biomass_image_train_0009.jpg;2017;1;basic;598.66;136.58;;;;;55.14;8.69;0;0;145.27;0.059819646;0;0;0.940180354;0
biomass_image_train_0010.jpg;2017;2;advance;136.46;27.3;129.96;23.09;42.94;8.04;172.9;31.13;33.96;5.18;63.61;0.489388461;0.126395221;0.36299324;0.429177802;0.081433737
biomass_image_train_0011.jpg;2017;2;basic;174.22;36.77;;;;;223.99;39.43;0;0;76.2;0.517454068;0;0;0.482545932;0
biomass_image_train_0012.jpg;2017;3;basic;174.23;37.13;;;;;159.08;37.47;0;0;74.6;0.50227882;0;0;0.49772118;0
biomass_image_train_0013.jpg;2017;2;advance;161.48;25.71;122.8;16.45;124.94;20.48;247.74;36.93;19.51;2.32;64.96;0.568503695;0.315270936;0.253232759;0.39578202;0.035714286
biomass_image_train_0014.jpg;2017;2;basic;131.37;25.96;;;;;378.82;61.54;0;0;87.5;0.703314286;0;0;0.296685714;0
biomass_image_train_0015.jpg;2017;3;basic;211.07;53.91;;;;;55.08;14.32;0;0;68.23;0.209878353;0;0;0.790121647;0
biomass_image_train_0016.jpg;2017;4;advance;103.11;14.42;142.06;17.17;0;0;142.06;17.17;48.96;5.54;37.13;0.462429302;0;0.462429302;0.388365203;0.149205494
