Image Name,Herbage Mass (kg DM/ha),Grass Dried,Clover Dried,Weeds Dried,Grass Fresh,Clover Fresh,Weeds Fresh,Sward Height (cm)
Card1IMG_0002.jpg,392.4,99.9,0,0.1,99.77,0,0.23,4
Card1IMG_0004.jpg,520.8,96.77,0.31,2.92,95.34,0.39,4.27,6.5
Card1IMG_0006.jpg,537.2,99.78,0,0.22,99.23,0,0.77,1.5
Card1IMG_0008.jpg,1000,99.2,0,0.8,98.48,0,1.52,4.5
Card1IMG_0010.jpg,704.8,98.75,0,1.25,98.87,0,1.13,4.5
Card1IMG_0012.jpg,838.8,98.71,0.38,0.91,99.02,0.43,0.54,5.5
Card1IMG_0294.jpg,668,71.26,24.55,4.19,69.95,21.65,8.4,4
Card1IMG_0296.jpg,698,71.63,26.36,2.01,69.37,24.21,6.43,3
Card1IMG_0297.jpg,769.6,76.92,16.84,6.24,64.32,22.36,13.31,5
Card1IMG_0298.jpg,576,68.75,29.17,2.08,69.13,23.96,6.9,4
Card1IMG_0299.jpg,436,86.24,11.01,2.75,78.17,12.67,9.16,4.5
Card1IMG_0300.jpg,1112,83.81,4.32,11.87,78.35,6.96,14.69,6
Card1IMG_0349.jpg,644.4,93.73,5.71,0.56,86.15,8.4,5.46,6.5
Card1IMG_0350.jpg,859.2,92.18,5.73,2.09,85.89,8.16,5.95,5.5
Card1IMG_0351.jpg,522.4,78.1,13.71,8.19,74.13,14.46,11.41,5
Card1IMG_0352.jpg,803.6,79.14,19.51,1.34,76.22,18.8,4.97,6.5
Card1IMG_0353.jpg,472,67.8,30.42,1.78,68.48,24.19,7.33,14
Card1IMG_0367.jpg,647.6,91.41,6.98,1.61,83.69,9.96,6.35,6.5
Card1IMG_0368.jpg,664.4,86.09,13.12,0.78,80.8,13.76,5.44,5
Card1IMG_0369.jpg,1404,88.03,11.68,0.28,84.46,12.84,2.7,8.5
Card1IMG_0370.jpg,372,80.65,19.14,0.22,75.49,17,7.51,5.5
Card1IMG_0371.jpg,620,75.48,23.48,1.03,73.61,20.73,5.66,5
Card1IMG_0402.jpg,669.2,93.84,0,6.16,90.72,0,9.28,7
Card1IMG_0403.jpg,659.6,99.45,0,0.55,94.27,0,5.73,6
Card1IMG_0404.jpg,640,99.99,0,0.01,94.7,0,5.3,5.5
Card1IMG_0405.jpg,586.4,97.54,0,2.46,92.67,0,7.33,4
Card1IMG_0406.jpg,545.6,99.71,0,0.29,93.81,0,6.19,5
Card1IMG_0420.jpg,666,91.89,4.14,3.96,83.73,8.09,8.18,6
Card1IMG_0421.jpg,454.8,86.19,4.93,8.88,78.7,9,12.3,3.5
Card1IMG_0422.jpg,655.6,78.71,17.88,3.42,74.84,17.74,7.42,4
Card1IMG_0423.jpg,892.8,89.61,3.49,6.9,88.86,6.8,4.34,5
Card1IMG_0424.jpg,685.2,82.31,10.45,7.24,77.12,11.9,10.98,4.5
Card1IMG_0643.jpg,833.6,91.17,0,8.83,87.98,0,12.02,5
Card1IMG_0644.jpg,1327.6,98.22,1.51,0.27,95.89,3.76,0.35,8
Card1IMG_0645.jpg,784,93.87,0.01,6.12,88.84,0.08,11.08,5
Card1IMG_0646.jpg,1454,99.59,0,0.41,96.96,0,3.04,6
Card1IMG_0647.jpg,945.6,99.83,0,0.17,99.94,0,0.06,8.5
Card1IMG_0655.jpg,700,95.43,0,4.57,91.63,0,8.37,4.5
Card1IMG_0656.jpg,1287.2,93.85,0,6.15,91.06,0,8.94,7.5
Card1IMG_0657.jpg,767.2,94.37,0.42,5.21,90.85,0.23,8.91,9.5
Card1IMG_0658.jpg,857.2,99.39,0,0.61,99.71,0,0.29,5
Card1IMG_0659.jpg,1120,91.07,5.36,3.57,85.04,7.48,7.48,5.5
Card1IMG_0673.jpg,581.2,90.16,0.28,9.57,86.61,0.18,13.21,5
